metric,mean,median,std,min,max
mae,0.060546396343901535,0.0553569645939397,0.021065465135620548,0.03457556087201258,0.11552467990578508
max_abs_error,0.30704141641643046,0.27546280437934456,0.13871005490103896,0.09750578593623516,0.585364087008788
mre_itm,0.0011696290489428141,0.00115874380791829,0.00043096406270495927,0.000594246350900584,0.0021540760458136628
mean_posterior_std,0.0026210725689299027,0.002471420002313856,0.000703695772543646,0.0015536092242777514,0.004559096276146786
max_posterior_std,0.03534946808252181,0.023916804315374303,0.030670678498781242,0.0035281572152217294,0.11652256756306956
optimization_time_sec,120.3208514315018,119.6931234379881,24.565787196401555,74.4528050009394,180.29301466792822
final_fit_time_sec,0.821099814621266,0.8429736666730605,0.13298642405741143,0.5364341668318957,1.1284538729814813
pricing_time_sec,0.010206393629778177,0.010363831534050405,0.0011547754001775873,0.008203957229852676,0.01265095779672265
posterior_std_time_sec,0.188164833385963,0.18895235349191353,0.03539693782708531,0.11233966588042676,0.2601291671162471
total_gpr_price_time_sec,121.15215763975284,120.59659952105721,24.672870714695204,74.99745808483567,181.43410333315842
total_gpr_with_std_time_sec,121.3403224731388,120.79325343715027,24.701648248366055,75.1097977507161,181.69423250027467
