seed_index,seed_base,maturity,n_int,n_bd,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,series_benchmark_time_sec,total_gpr_price_time_sec,total_gpr_with_std_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0,20260701,0.5,800,800,0.04945049479461214,0.14000828313663938,0.0017952387813632235,0.0014490783817606157,0.0025774777326448193,25.263170582940802,0.09168395795859396,0.0014426660491153598,0.0186555830296129,0.025980666978284717,25.35629720694851,25.374952789978124,True,Optimization terminated successfully.,94,180,0.021271261764488635
0,20260701,1.0,800,800,0.030871776140455044,0.08484665012315418,0.00083520877785457,0.002073342168400391,0.015758617829456343,15.312787583912723,0.11669591697864234,0.0015170829137787223,0.027631917037069798,0.03257262508850545,15.431000583805144,15.458632500842214,True,Optimization terminated successfully.,47,94,0.024474685246455706
0,20260701,1.5,800,800,0.18094325642971543,0.4067090477959119,0.002330862430939137,0.0012621736188174685,0.0020378269414483377,9.002811625017785,0.11640562501270324,0.0014769169501960278,0.026483291992917657,0.03711625002324581,9.120694166980684,9.147177458973601,True,Optimization terminated successfully.,27,52,0.8965173103592732
0,20260701,2.0,800,800,0.07749874851872851,0.1180338658069644,0.0014138836210990933,0.002318984852153969,0.006443319223381857,14.32597512495704,0.12355095893144608,0.0013799159787595272,0.02737554197665304,0.04597358393948525,14.450905999867246,14.478281541843899,True,Optimization terminated successfully.,36,67,0.04911539880482514
0,20260701,2.5,800,800,0.08529042792919989,0.22810863815361415,0.0016230252140306415,0.005738997864731784,0.041514503344763316,21.422290791990235,0.13469704205635935,0.0016076249303296208,0.02692804194521159,0.051139250048436224,21.558595458976924,21.585523500922136,True,Optimization terminated successfully.,61,119,0.02251339378451877
0,20260701,3.0,800,800,0.08454743825766972,0.10331624828812735,0.0015321273837497873,0.0020548664885548045,0.0035319853121199957,16.575884749996476,0.11831466690637171,0.0013429590035229921,0.03385545895434916,0.05181616602931172,16.69554237590637,16.72939783486072,True,Optimization terminated successfully.,50,94,0.19723994542948886
1,20270701,0.5,800,800,0.016080173640340176,0.03646638182171813,0.0006783082503501106,0.0014881746591098059,0.002556956672145762,16.506486458005384,0.11811037501320243,0.0015815410297363997,0.027738582924939692,0.02909529209136963,16.626178374048322,16.653916956973262,True,Optimization terminated successfully.,47,91,0.01176701656190052
1,20270701,1.0,800,800,0.04210565684944689,0.0842455147040937,0.0006886302769508506,0.0014148962347396243,0.0026286778671020944,24.88023708399851,0.12630079209338874,0.0014986669411882758,0.02761083305813372,0.0368361659348011,25.008036543033086,25.03564737609122,True,Optimization terminated successfully.,70,138,0.04888311844659459
1,20270701,1.5,800,800,0.12097601632397724,0.2082282154174493,0.0031813787823631533,0.001264496066842075,0.0019434670762754525,13.641145874978974,0.13841729192063212,0.0013541249791160226,0.025608249939978123,0.04169862496200949,13.780917291878723,13.8065255418187,True,Optimization terminated successfully.,40,73,0.4739461085284189
1,20270701,2.0,800,800,0.019044313836765105,0.047126841933035735,0.0003066667690437758,0.0017629181831201723,0.0035281572152217294,18.031444624997675,0.11907483299728483,0.001987791038118303,0.0324517919216305,0.045551209012046456,18.15250724903308,18.18495904095471,True,Optimization terminated successfully.,49,96,0.05579311218865476
1,20270701,2.5,800,800,0.049484928023846395,0.09772921729958739,0.0011508384088602178,0.0015490246479300102,0.0023603737202352606,8.539462167071179,0.11832145799417049,0.001399707980453968,0.027358374907635152,0.05370558297727257,8.659183333045803,8.686541707953438,True,Optimization terminated successfully.,24,48,0.9143584840259846
1,20270701,3.0,800,800,0.08211820880029273,0.14848541466960086,0.0017544107778457328,0.0018421455539248213,0.002988036796736712,8.620639374945313,0.11945904197636992,0.0015321670798584819,0.03248966601677239,0.061472667031921446,8.741630584001541,8.774120250018314,True,Optimization terminated successfully.,26,48,0.729768538032561
2,20280701,0.5,800,800,0.017078879447662575,0.040826283435594135,0.0002560603513879188,0.0017225582258235807,0.006866540655788295,17.93213458301034,0.12626887508668005,0.0016016250010579824,0.0317227499326691,0.0303624999942258,18.060005083098076,18.091727833030745,True,Optimization terminated successfully.,47,93,0.013690709211840428
2,20280701,1.0,800,800,0.01499530435071994,0.03321193223132468,0.00032940523054878005,0.0017976064495483144,0.006775223767350261,27.68825733300764,0.1209474999923259,0.001540791941806674,0.028707957942970097,0.03762270894367248,27.810745624941774,27.839453582884744,True,Optimization terminated successfully.,81,151,0.02894147471766667
