maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0.5,800,800,1.0,0.22914237693458694,0.11403778656103067,,-1.4734117352851885,-2.171225424447051,100.0,1.0,0.8,1.2,0.010377585535681095,True,77,149
1.0,800,800,1.0,0.5444907158633223,0.14502725051113222,,-0.6079043875105533,-1.9308336196595173,100.0,1.0,0.8,1.2,0.03015803374220994,True,91,185
1.5,800,800,1.0,0.21501212614314777,0.3363748398844398,,-1.5370608517791284,-1.0895291459383323,100.0,1.0,0.8,1.2,0.06914644013620475,True,57,117
2.0,800,800,1.0,0.646941444819438,0.12694123757018097,,-0.43549949117431197,-2.064030995898296,100.0,1.0,0.8,1.2,0.020565353231585603,True,61,119
2.5,800,800,1.0,0.6073932084191636,0.17875021254973086,,-0.49857890783049263,-1.7217659083193235,100.0,1.0,0.8,1.2,0.027866122753178665,True,59,119
3.0,800,800,1.0,0.3409624511154279,0.3261503261901199,,-1.0759829217926185,-1.1203968806175215,100.0,1.0,0.8,1.2,0.11411399317566101,True,73,136
