seed_index,base_seed,maturity,n_int,n_bd,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,gpr_time_sec,benchmark_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0,20260520,0.5,800,800,0.02604598247964836,0.06083938102754871,0.0014323334090587966,0.0012672183286829679,0.0016282226262105278,10.126335124950856,0.08892150002066046,0.00015787500888109207,10.215414499980398,True,Optimization terminated successfully.,64,120,0.023108311510592356
0,20260520,1.0,800,800,0.02772060035702927,0.0501136128290085,0.0012403255251523808,0.001329743974524562,0.00190490184867307,12.736057000001892,0.08270079200156033,0.00010562501847743988,12.81886341702193,True,Optimization terminated successfully.,75,149,0.02616780288728355
0,20260520,1.5,800,800,0.021232750030715217,0.03947208595926899,0.0006239541075264189,0.001389291904230688,0.0018382472043074745,6.2627140410477296,0.08926145796431229,0.0001188750029541552,6.352094374014996,True,Optimization terminated successfully.,38,73,0.06401773452837252
0,20260520,2.0,800,800,0.02025174851646532,0.03329705211929479,0.000530659708196972,0.0017862173454414015,0.004767327088821345,5.518205832981039,0.080549709033221,0.00011079205432906747,5.598866334068589,True,Optimization terminated successfully.,35,65,0.04876146873781634
0,20260520,2.5,800,800,0.03034245226682593,0.048260527419440535,0.0006062628199978361,0.005126645717609956,0.011349234531789577,6.983966832980514,0.08785991702461615,0.00011129199992865324,7.071938042005058,True,Optimization terminated successfully.,41,80,0.054559345471218414
0,20260520,3.0,800,800,0.030132426823546995,0.1118866384814794,0.0009814359216200278,0.0022923747388117277,0.00353262480859233,5.937421708018519,0.08144558302592486,0.00010341696906834841,6.018970708013512,True,Optimization terminated successfully.,35,71,0.11175914865898273
1,20270520,0.5,800,800,0.5865237212627168,1.195468507622323,0.02222133160846922,0.0010201252164315554,0.0013739530448745284,5.869128665945027,0.08157129201572388,0.00011200003791600466,5.950811957998667,True,Optimization terminated successfully.,36,70,1.0101143281798592
1,20270520,1.0,800,800,0.021208625202674,0.034523296034706163,0.0010843603360106647,0.00158894720546513,0.0028551694272289673,9.84718141698977,0.08187599998200312,9.441695874556899e-05,9.929151833930518,True,Optimization terminated successfully.,60,118,0.04616147295531153
1,20270520,1.5,800,800,0.03200916033711054,0.05404226092345965,0.0008750407979411902,0.0017319243527050756,0.0029179410039455356,8.110326124995481,0.08233758300775662,0.00011162500595673919,8.192775333009195,True,Optimization terminated successfully.,49,97,0.026395354999141814
1,20270520,2.0,800,800,0.01425842661112191,0.024417891770902145,0.00032592208728864883,0.001957762391838966,0.00399333430161029,7.598477874998935,0.08067454100819305,9.970797691494226e-05,7.6792521239840426,True,Optimization terminated successfully.,47,91,0.0406079360575642
