seed_index,base_seed,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0,20260520,0.5,800,800,1.0,0.6405952205005279,0.12423904711380555,,-0.4453575028081752,-2.08554776989258,100.0,1.0,0.8,1.2,0.023108311510592356,True,64,120
0,20260520,1.0,800,800,1.0,0.5374358389278023,0.11766540384228433,,-0.6209458955420643,-2.1399102429930874,100.0,1.0,0.8,1.2,0.02616780288728355,True,75,149
0,20260520,1.5,800,800,1.0,0.22190158291771725,0.32036555174836473,,-1.505521315595768,-1.138292585959106,100.0,1.0,0.8,1.2,0.06401773452837252,True,38,73
0,20260520,2.0,800,800,1.0,0.5654295064201799,0.20091569496847209,,-0.5701696482782117,-1.604869886925147,100.0,1.0,0.8,1.2,0.04876146873781634,True,35,65
0,20260520,2.5,800,800,1.0,0.3935652497014939,0.1852307891859028,,-0.9325084060617109,-1.6861527222837651,100.0,1.0,0.8,1.2,0.054559345471218414,True,41,80
0,20260520,3.0,800,800,1.0,0.26388150529714594,0.42834020588335775,,-1.3322551201676651,-0.8478375255857737,100.0,1.0,0.8,1.2,0.11175914865898273,True,35,71
1,20270520,0.5,800,800,1.0,0.17642941886317368,1.1819612307523732,,-1.7348343757138593,0.16717511874410063,100.0,1.0,0.8,1.2,1.0101143281798592,True,36,70
1,20270520,1.0,800,800,1.0,0.154271481438542,0.2548912035159048,,-1.8690413621098478,-1.3669184777447518,100.0,1.0,0.8,1.2,0.04616147295531153,True,60,118
1,20270520,1.5,800,800,1.0,0.42441197633841155,0.15711802409757036,,-0.8570506531814422,-1.8507580102088095,100.0,1.0,0.8,1.2,0.026395354999141814,True,49,97
1,20270520,2.0,800,800,1.0,0.6620646865724861,0.19355724602565136,,-0.41239201396309755,-1.6421819651720255,100.0,1.0,0.8,1.2,0.0406079360575642,True,47,91
1,20270520,2.5,800,800,1.0,0.4932564294560072,0.19610395024225072,,-0.7067260992814317,-1.629110401963088,100.0,1.0,0.8,1.2,0.021791476137679976,True,49,93
1,20270520,3.0,800,800,1.0,0.6058146986868668,0.1478271791381145,,-0.5011811174168137,-1.9117113960470822,100.0,1.0,0.8,1.2,0.019021865681780277,True,36,71
2,20280520,0.5,800,800,1.0,0.15862384448113387,0.15409704567525262,,-1.8412196375690189,-1.8701727083177615,100.0,1.0,0.8,1.2,0.014353662863161726,True,49,91
2,20280520,1.0,800,800,1.0,0.24063083731297422,0.13176298094061087,,-1.4244913152713226,-2.0267505693506775,100.0,1.0,0.8,1.2,0.01462440883552599,True,63,123
2,20280520,1.5,800,800,1.0,0.33143262556732384,0.1976194746692103,,-1.1043307311367077,-1.6214119425064242,100.0,1.0,0.8,1.2,0.030679545653654158,True,77,147
2,20280520,2.0,800,800,1.0,0.3000146488845282,0.15743567073833947,,-1.2039239759029687,-1.8487383439072609,100.0,1.0,0.8,1.2,0.020467727579360592,True,72,140
2,20280520,2.5,800,800,1.0,0.2583175523278631,0.4216960100130363,,-1.3535656279259438,-0.8634705799461033,100.0,1.0,0.8,1.2,0.0841738640481512,True,37,74
2,20280520,3.0,800,800,1.0,0.625245720789953,0.13825708769337672,,-0.46961055324630474,-1.9786403726722805,100.0,1.0,0.8,1.2,0.023391216798579844,True,39,76
3,20290520,0.5,800,800,1.0,0.22322366181432007,0.1143475545938823,,-1.4995810423809222,-2.1685127440163283,100.0,1.0,0.8,1.2,0.00968934224848193,True,54,105
3,20290520,1.0,800,800,1.0,0.17313022926151841,0.27057804731963203,,-1.7537111973760156,-1.3071946924800468,100.0,1.0,0.8,1.2,0.045713904777156755,True,36,67
3,20290520,1.5,800,800,1.0,0.3829498108295726,0.1362725115720517,,-0.9598513406087101,-1.993098636539357,100.0,1.0,0.8,1.2,0.016704064168302928,True,54,107
3,20290520,2.0,800,800,1.0,0.2665811688462028,0.42552388850671663,,-1.3220765082176222,-0.8544341903431735,100.0,1.0,0.8,1.2,0.11223495957915422,True,30,63
3,20290520,2.5,800,800,1.0,0.5260309207094196,0.24967762337850166,,-0.6423952833535067,-1.3875846997348067,100.0,1.0,0.8,1.2,0.039216188969242796,True,42,80
3,20290520,3.0,800,800,1.0,0.6986623087987917,0.2170296016308351,,-0.35858775963507633,-1.527721521699768,100.0,1.0,0.8,1.2,0.03308652164880866,True,38,75
4,20300520,0.5,800,800,1.0,0.15519599770046263,0.10862803672093166,,-1.8630664595780182,-2.219825739783369,100.0,1.0,0.8,1.2,0.008791821881497266,True,64,128
4,20300520,1.0,800,800,1.0,0.2797941502846045,0.21155022949426072,,-1.2737011237434142,-1.5532928169938613,100.0,1.0,0.8,1.2,0.02767687258962893,True,56,105
4,20300520,1.5,800,800,1.0,0.42054756057275133,0.15314682029151772,,-0.8661977011546531,-1.8763582079723138,100.0,1.0,0.8,1.2,0.0213786716549735,True,51,95
4,20300520,2.0,800,800,1.0,0.4244752825127214,0.20969545029942582,,-0.8569015022223081,-1.562099037545081,100.0,1.0,0.8,1.2,0.05157763589985688,True,41,76
4,20300520,2.5,800,800,1.0,0.5391436875899319,0.5399977210338295,,-0.6177731618002515,-0.6161903597404457,100.0,1.0,0.8,1.2,0.18349820620864107,True,56,105
4,20300520,3.0,800,800,1.0,0.4471663486667695,0.19671491400572177,,-0.8048246089288323,-1.6259997353850273,100.0,1.0,0.8,1.2,0.022050246472237953,True,77,145
5,20310520,0.5,800,800,1.0,0.11274919316227967,0.16058438845736175,,-2.182589456613604,-1.8289356898073825,100.0,1.0,0.8,1.2,0.01854047302824316,True,40,77
5,20310520,1.0,800,800,1.0,0.46692903916598,0.11847656684397773,,-0.7615779832529176,-2.1330400861137817,100.0,1.0,0.8,1.2,0.018612866768268906,True,58,110
5,20310520,1.5,800,800,1.0,0.2567001109269536,0.25713006970690533,,-1.3598467589783199,-1.3581732143073082,100.0,1.0,0.8,1.2,0.03431117918736237,True,55,106
5,20310520,2.0,800,800,1.0,0.2915711091487721,0.16405412274683168,,-1.2324713607493205,-1.8075588888525145,100.0,1.0,0.8,1.2,0.02040744764060729,True,40,77
5,20310520,2.5,800,800,1.0,0.6656718001378957,0.31755327269956707,,-0.4069585224896617,-1.1471096866940953,100.0,1.0,0.8,1.2,0.05762136329072923,True,36,74
5,20310520,3.0,800,800,1.0,0.5046483268295258,0.16992766087038566,,-0.6838934748095007,-1.7723824567848774,100.0,1.0,0.8,1.2,0.039936976957913824,True,54,107
6,20320520,0.5,800,800,1.0,0.5248988435711702,1.111838283429468,,-0.6445497138675365,0.10601475668200845,100.0,1.0,0.8,1.2,0.8680539399693598,True,37,71
6,20320520,1.0,800,800,1.0,0.3784351846253344,0.1366403859428257,,-0.9717104635019393,-1.9904027244228444,100.0,1.0,0.8,1.2,0.02637528449050383,True,50,96
6,20320520,1.5,800,800,1.0,0.2966072933211731,1.3063336675918085,,-1.2153462598261675,0.26722448642468377,100.0,1.0,0.8,1.2,1.250391218039315,True,43,83
6,20320520,2.0,800,800,1.0,0.3552228210446686,0.17074281535252706,,-1.0350100214913973,-1.7675968584148767,100.0,1.0,0.8,1.2,0.017098613446790024,True,52,97
6,20320520,2.5,800,800,1.0,0.46471906248627476,0.15919167022028358,,-0.7663222226732063,-1.8376463296776488,100.0,1.0,0.8,1.2,0.01720781815955492,True,69,136
6,20320520,3.0,800,800,1.0,0.5784319478499687,0.2782040718538197,,-0.5474343747909649,-1.2794003631735231,100.0,1.0,0.8,1.2,0.059763071283195565,True,36,70
7,20330520,0.5,800,800,1.0,0.1619844823505831,0.21167974479135224,,-1.820254736297076,-1.5526807842504198,100.0,1.0,0.8,1.2,0.016573963487920645,True,39,76
7,20330520,1.0,800,800,1.0,0.2201873615594739,0.13480552112382232,,-1.5132764516201396,-2.003922123450825,100.0,1.0,0.8,1.2,0.00917687204772931,True,61,119
7,20330520,1.5,800,800,1.0,0.4007918174518809,0.11371804035505198,,-0.9143131449591012,-2.1740332245404628,100.0,1.0,0.8,1.2,0.017627912426294228,True,76,152
7,20330520,2.0,800,800,1.0,0.5874827211607153,0.17591078327096776,,-0.5319084441866007,-1.7377783257010715,100.0,1.0,0.8,1.2,0.03784357344723851,True,52,101
7,20330520,2.5,800,800,1.0,0.5050625905118923,0.20273921955077054,,-0.6830729157791962,-1.595834758543182,100.0,1.0,0.8,1.2,0.022492945496432357,True,44,85
7,20330520,3.0,800,800,1.0,0.3042046571597906,0.1614435395477142,,-1.1900545897416208,-1.8235997977676166,100.0,1.0,0.8,1.2,0.04665356156684275,True,34,64
8,20340520,0.5,800,800,1.0,0.15474808221223993,0.12502771584066552,,-1.8659567603068892,-2.079219839532249,100.0,1.0,0.8,1.2,0.0075434390759353,True,44,92
8,20340520,1.0,800,800,1.0,0.3362438849317282,0.12720957828535978,,-1.0899185343081017,-2.0619193299255594,100.0,1.0,0.8,1.2,0.01102046883027383,True,71,143
