seed_index,base_seed,maturity,n_int,n_bd,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,gpr_time_sec,benchmark_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0,20260520,0.5,800,800,0.037651646620691356,0.06222549098494312,0.002147745305334348,0.0024096565969515637,0.0032731388378020782,9.897657542023808,0.09383833303581923,0.00012341700494289398,9.99161929206457,True,Optimization terminated successfully.,59,112,0.011112381113004353
0,20260520,1.0,800,800,0.005059616516620229,0.009964903174140005,0.00010852218366142669,0.002132034014667974,0.003090841228035297,8.532980834017508,0.08316083298996091,9.699992369860411e-05,8.616238666931167,True,Optimization terminated successfully.,54,101,0.018032323684861032
0,20260520,1.5,800,800,0.032910678723465536,0.06495787048381274,0.0008136884256149966,0.0023995297748577423,0.0028347099486355433,9.01745275000576,0.0826104999287054,0.00010449998080730438,9.100167749915272,True,Optimization terminated successfully.,56,107,0.019172134808642292
0,20260520,2.0,800,800,0.049702617862459046,0.07641821582483743,0.0010970600110721035,0.003969578790024293,0.006372470546817399,8.77793204097543,0.08163645898457617,0.00012041698209941387,8.859688916942105,True,Optimization terminated successfully.,54,104,0.024738783128741438
0,20260520,2.5,800,800,0.05795774797000454,0.0725994278293598,0.0013902165650425135,0.003691030390386745,0.0068760304528300625,7.669279625057243,0.08173170802183449,9.887502528727055e-05,7.751110208104365,True,Optimization terminated successfully.,48,91,0.025609136113355246
0,20260520,3.0,800,800,0.04056413903235556,0.05721996049243572,0.000824727806260392,0.00290285628741488,0.0031682644671413157,7.742299792007543,0.08271624997723848,0.00010379205923527479,7.825119834044017,True,Optimization terminated successfully.,48,92,0.05490662362379298
1,20270520,0.5,800,800,0.047888694089607386,0.09149684017975801,0.0029942354453441245,0.0024541991824705484,0.0032256963723182705,8.036298499908298,0.0819123750552535,0.00011620798613876104,8.11832708294969,True,Optimization terminated successfully.,50,95,0.009806411752307497
1,20270520,1.0,800,800,0.0368268525643083,0.07518217699247032,0.0014718313282189944,0.0021752673462358514,0.0029382331161449497,9.399812999996357,0.0835633750539273,9.437499102205038e-05,9.483470750041306,True,Optimization terminated successfully.,58,112,0.022770359747793234
1,20270520,1.5,800,800,0.026120288744173773,0.06641669709172504,0.0012256520239190523,0.0022934304097966918,0.0031960145531667278,7.963450709008612,0.08203995798248798,9.733403567224741e-05,8.045588001026772,True,Optimization terminated successfully.,49,95,0.025242979366698268
1,20270520,2.0,800,800,0.12619211516230108,0.18947456392600515,0.0035500945811328326,0.0029806710085418047,0.005545966978139132,8.741099959006533,0.08384929108433425,0.00011083297431468964,8.825060083065182,True,Optimization terminated successfully.,55,104,0.015108483712449876
1,20270520,2.5,800,800,0.11552540660421022,0.1382565783704024,0.003467946107500083,0.003749321980005391,0.006595622566931183,7.808429541066289,0.08038008399307728,0.00010337505955249071,7.888913000118919,True,Optimization terminated successfully.,49,92,0.028420833859169797
1,20270520,3.0,800,800,0.23371819098174998,0.2926177354601691,0.0064876424312677395,0.0031165012475167122,0.0037437366698349723,8.437954833032563,0.08132920798379928,0.00011516595259308815,8.519399206968956,True,Optimization terminated successfully.,52,100,0.03239646985109272
2,20280520,0.5,800,800,0.030712460776170715,0.06346545347050636,0.0013865883536732383,0.0017526595765073618,0.001864449544191057,5.395177124999464,0.08178145799320191,0.0001011659624055028,5.477059748955071,True,Optimization terminated successfully.,33,64,0.05111396578809416
