seed_index,base_seed,n_int,n_bd,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,gpr_time_sec,benchmark_time_sec,total_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
0,20260520,800,800,6,51,0.037307741120932714,0.07641821582483743,0.0010636600494976303,0.0029174476423838662,0.0068760304528300625,51.63760258408729,0.5056940829381347,0.0006480009760707617,52.143944668001495,6,0,0.02559523041206622,0.05490662362379298
1,20270520,800,800,6,51,0.09771192469105845,0.2926177354601691,0.003199566986230471,0.0027948985290944996,0.006595622566931183,50.38704654201865,0.4930742911528796,0.0006372909992933273,50.880758124170825,6,0,0.022290923048251903,0.03239646985109272
2,20280520,800,800,6,51,0.03577808450019644,0.12046630978457529,0.0013594253876260582,0.002494982108071241,0.004548992558763061,46.681243291008286,0.49487037397921085,0.0006067908834666014,47.176720455870964,6,0,0.030657000910678467,0.05111396578809416
3,20290520,800,800,6,51,0.07085126419706184,0.2429200542367056,0.002321088002176572,0.002563540515829795,0.0036491107870155236,42.31007233494893,0.4834349569864571,0.0006055819103494287,42.794112873845734,6,0,0.08064988631550604,0.3415257725179797
4,20300520,800,800,6,51,0.10650133804305549,0.3834971670378451,0.004379651891818556,0.003221016691089319,0.012676372678662676,47.54927691689227,0.49312666710466146,0.000614581978879869,48.04301816597581,6,0,0.02972194477338135,0.038476567818479815
5,20310520,800,800,6,51,0.05258785042879129,0.1632432153185448,0.0017820717108369085,0.002658415792832627,0.00738088823582439,60.95967104099691,0.4883114588446915,0.0006602491484954953,61.448642748990096,6,0,0.029328347251041748,0.04165778587566368
6,20320520,800,800,6,51,0.03428609797068966,0.10375911801898496,0.0012846403628991607,0.0029067346165321997,0.010657158327933064,59.37789379269816,0.4944824168924242,0.0006222489755600691,59.872998458566144,6,0,0.02154054209054579,0.025624071506140423
7,20330520,800,800,6,51,0.05675892864581567,0.2430364571089001,0.0017396522132523417,0.0032292340047175875,0.01586901604656868,54.60652274894528,0.4875825009075925,0.0006322921253740788,55.09473754197825,6,0,0.02186489382744572,0.030097497328353377
8,20340520,800,800,6,51,0.0513503441995661,0.13772094464745877,0.0016921843726285329,0.002739526335619677,0.0047211017820263275,57.30004708399065,0.4930799179710448,0.0006433342350646853,57.79377033619676,6,0,0.02622010624984326,0.0530959907694177
9,20350520,800,800,6,51,0.0337180348276622,0.08955959812502812,0.0011502995659283552,0.002898005433618622,0.0064696992649542345,48.95163954189047,0.4961618329398334,0.0006048759678378701,49.44840625079814,6,0,0.021965460468944858,0.03320319546998145
10,20360520,800,800,6,51,0.05303370669517156,0.17141811312900046,0.0020741218750637887,0.00402630789339508,0.018212332989690112,45.23245137510821,0.4967902480857447,0.0006136249285191298,45.729855248122476,6,0,0.0269125120346061,0.04315254758640836
11,20370520,800,800,6,51,0.05749098041800031,0.15101095794980068,0.0019037682476310787,0.0026388076635331824,0.011650843575027301,50.06153108389117,0.49146149901207536,0.000609499984420836,50.553602082887664,6,0,0.024226892142825127,0.04699231669424328
12,20380520,800,800,6,51,0.056100763351316016,0.1804887818992995,0.0019526179557575682,0.003070173840405622,0.008119042861496235,52.07400129083544,0.48696891590952873,0.0006151230772957206,52.561585329822265,6,0,0.020229340720193376,0.03706958077608093
13,20390520,800,800,6,51,0.055176042898167466,0.13060954638132216,0.0017609384156810218,0.0028227955294983444,0.005915062384318528,56.66145095799584,0.4999266241211444,0.0006139171309769154,57.16199149924796,6,0,0.019310250449530074,0.03489077377641854
14,20400520,800,800,6,51,0.05428281948432846,0.17432052920634789,0.001776395346123784,0.00294564221094757,0.00954162716793844,49.04464512504637,0.4978759998921305,0.0006196671165525913,49.543140792055055,6,0,0.030441598854857393,0.05098328353280267
15,20410520,800,800,6,51,0.05629247816495819,0.1657061741099426,0.0021407143520975735,0.0026747515779977572,0.004378348194754383,56.28750279196538,0.4973461260087788,0.0006201228825375438,56.7854690408567,6,0,0.03563592431694553,0.08224921113074415
16,20420520,800,800,6,51,0.058226253536167845,0.20193308985830072,0.0017577008164950225,0.0034145523450926476,0.011776962484705455,45.080819708062336,0.4995559999952093,0.000672666821628809,45.581048374879174,6,0,0.027144508892220295,0.043184628021321135
17,20430520,800,800,6,51,0.06620301973275484,0.25319899329079476,0.0029974654321728066,0.0037402393656270185,0.0184360500658385,51.17429320886731,0.5243644990259781,0.0006782499840483069,51.69933595787734,6,0,0.024496302913948397,0.035579851011683976
18,20440520,800,800,6,51,0.059289034801058065,0.19184303748721732,0.0016118765063726892,0.002941801071026692,0.006269793804619701,52.960794625105336,0.49346187501214445,0.000616417033597827,53.45487291715108,6,0,0.027008367251551948,0.04853903539222099
19,20450520,800,800,6,51,0.035409851025456046,0.1037901918607389,0.0013067751565240039,0.002539588481836411,0.004284034424268711,49.06887629197445,0.5085487909382209,0.0006473740795627236,49.57807245699223,6,0,0.031124501606509508,0.09090184581607533
