seed_index,base_seed,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0,20260520,0.5,800,800,1.0,0.31392617228146963,0.18504009042152889,,-1.1585974408416613,-1.6871827723997077,100.0,1.0,0.8,1.2,0.011112381113004353,True,59,112
0,20260520,1.0,800,800,1.0,0.4384136223421581,0.20073214575250226,,-0.8245924709703205,-1.6057838678314944,100.0,1.0,0.8,1.2,0.018032323684861032,True,54,101
0,20260520,1.5,800,800,1.0,1.0565586033385324,0.1927715242057028,,0.0550170258574563,-1.6462496037423369,100.0,1.0,0.8,1.2,0.019172134808642292,True,56,107
0,20260520,2.0,800,800,1.0,0.8672581386089724,0.20402630025183457,,-0.1424186087900644,-1.5895063706446404,100.0,1.0,0.8,1.2,0.024738783128741438,True,54,104
0,20260520,2.5,800,800,1.0,0.8008496204531657,0.23359643583985382,,-0.22208208929793677,-1.4541602856793348,100.0,1.0,0.8,1.2,0.025609136113355246,True,48,91
0,20260520,3.0,800,800,1.0,0.895235349978579,0.3661618274551538,,-0.11066863440551059,-1.0046798917841353,100.0,1.0,0.8,1.2,0.05490662362379298,True,48,92
1,20270520,0.5,800,800,1.0,0.42368785579826707,0.14346168523922756,,-0.8587582840255179,-1.9416872812510222,100.0,1.0,0.8,1.2,0.009806411752307497,True,50,95
1,20270520,1.0,800,800,1.0,0.37383012176863256,0.24534663564144812,,-0.9839538046266649,-1.4050832290266972,100.0,1.0,0.8,1.2,0.022770359747793234,True,58,112
1,20270520,1.5,800,800,1.0,1.5096447259729042,0.2051263521435629,,0.4118743423313141,-1.5841291377907418,100.0,1.0,0.8,1.2,0.025242979366698268,True,49,95
1,20270520,2.0,800,800,1.0,1.1342125852796114,0.21211392548721408,,0.12593865270940027,-1.5506317642757477,100.0,1.0,0.8,1.2,0.015108483712449876,True,55,104
1,20270520,2.5,800,800,1.0,0.8841060915183788,0.28309356086939763,,-0.12317821051564087,-1.2619778321974966,100.0,1.0,0.8,1.2,0.028420833859169797,True,49,92
1,20270520,3.0,800,800,1.0,1.9905101780506274,0.2509696088784205,,0.688390976758715,-1.3824234273468035,100.0,1.0,0.8,1.2,0.03239646985109272,True,52,100
2,20280520,0.5,800,800,1.0,0.27929457751069126,0.40412359211232657,,-1.275488220789141,-0.9060345267351809,100.0,1.0,0.8,1.2,0.05111396578809416,True,33,64
2,20280520,1.0,800,800,1.0,0.398329511919338,0.24596332415790984,,-0.9204756968385918,-1.4025728429535969,100.0,1.0,0.8,1.2,0.020086667334790514,True,48,90
2,20280520,1.5,800,800,1.0,0.898126880977246,0.22283557462435682,,-0.10744392781311904,-1.5013211130091377,100.0,1.0,0.8,1.2,0.019155028599192443,True,55,106
2,20280520,2.0,800,800,1.0,0.490102041631529,0.27665699537750477,,-0.7131416613305068,-1.2849768239374448,100.0,1.0,0.8,1.2,0.020088432681903134,True,51,95
2,20280520,2.5,800,800,1.0,1.6493517223724927,0.18630933311259598,,0.5003823151769945,-1.6803469054066809,100.0,1.0,0.8,1.2,0.031153757725712224,True,53,102
2,20280520,3.0,800,800,1.0,1.2288311863068058,0.31080420112242596,,0.20606346257066704,-1.1685921434550774,100.0,1.0,0.8,1.2,0.042344153334378326,True,51,98
3,20290520,0.5,800,800,1.0,0.1703148108151932,0.3110150093799777,,-1.7701067261274117,-1.1679141062955058,100.0,1.0,0.8,1.2,0.02383701569000199,True,43,82
3,20290520,1.0,800,800,1.0,0.4679318271866587,0.20513596164121675,,-0.7594326620797383,-1.5840822921637723,100.0,1.0,0.8,1.2,0.022380979821735474,True,46,92
3,20290520,1.5,800,800,1.0,0.9162584050396653,0.22832355217638137,,-0.08745685251948637,-1.476991567489291,100.0,1.0,0.8,1.2,0.020740810206237366,True,52,97
3,20290520,2.0,800,800,1.0,0.6538099093309239,0.2835695948195016,,-0.42493862828971846,-1.2602977015685488,100.0,1.0,0.8,1.2,0.03319164181128972,True,38,74
3,20290520,2.5,800,800,1.0,0.5115081141730788,0.5071035640715592,,-0.6703918302302996,-0.6790400278651816,100.0,1.0,0.8,1.2,0.04222309784579198,True,46,87
3,20290520,3.0,800,800,1.0,0.33761819032538426,1.1611938286952257,,-1.0858396364163103,0.1494486385617469,100.0,1.0,0.8,1.2,0.3415257725179797,True,38,73
4,20300520,0.5,800,800,1.0,0.1489335868558802,0.21049432350170263,,-1.9042547982014113,-1.5582965929610646,100.0,1.0,0.8,1.2,0.025038141734872996,True,35,68
4,20300520,1.0,800,800,1.0,0.4922567818084952,0.40174063538451266,,-0.7087547843947892,-0.9119485841955831,100.0,1.0,0.8,1.2,0.0381819857255646,True,53,100
4,20300520,1.5,800,800,1.0,0.6520648606367573,0.2609551778253669,,-0.42761124249901283,-1.3434066188770113,100.0,1.0,0.8,1.2,0.0174188243502433,True,51,99
4,20300520,2.0,800,800,1.0,1.1004152347657465,0.2778163721680391,,0.09568759472503152,-1.2807949153083642,100.0,1.0,0.8,1.2,0.03743726574139036,True,51,97
4,20300520,2.5,800,800,1.0,1.993633248244539,0.15513764398919874,,0.6899587269621674,-1.863442530387705,100.0,1.0,0.8,1.2,0.021778883269737016,True,59,115
4,20300520,3.0,800,800,1.0,0.7392985072853471,0.26527695129076606,,-0.30205350551303634,-1.3269808995214576,100.0,1.0,0.8,1.2,0.038476567818479815,True,44,86
5,20310520,0.5,800,800,1.0,0.9182619255510002,0.2256220724858498,,-0.08527260710723297,-1.488893925111137,100.0,1.0,0.8,1.2,0.023691612081491342,True,81,151
5,20310520,1.0,800,800,1.0,0.2446454832886415,0.3582709854634459,,-1.4079451233481801,-1.0264656362827052,100.0,1.0,0.8,1.2,0.04165778587566368,True,33,63
5,20310520,1.5,800,800,1.0,0.6723157205293251,0.2361289506081987,,-0.3970272265746312,-1.4433772222969368,100.0,1.0,0.8,1.2,0.018813313335790293,True,53,102
5,20310520,2.0,800,800,1.0,1.227394447504411,0.3070451404204433,,0.20489358717609552,-1.1807605050037084,100.0,1.0,0.8,1.2,0.038877303554473885,True,60,121
