maturity,n_int,n_bd,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,optimization_time_sec,final_fit_time_sec,pricing_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0.5,200,120,40,40,40,20260503,20260504,0.20520519849915106,0.4518912814886704,0.008874696074194605,0.8422096249996684,0.002280250017065555,0.00017654197290539742,0.8446664169896394,True,Optimization terminated successfully.,141,262,0.036813091968619725
1.0,200,120,40,40,40,20260603,20260604,0.7084218048256159,1.5949670564008396,0.012891230286456912,0.35924616700503975,0.0021187919774092734,0.0001694579841569066,0.36153441696660593,True,Optimization terminated successfully.,57,112,1.3167362380446856
1.5,200,120,40,40,40,20260703,20260704,0.5718966564757,1.1687732284510588,0.009834020081604451,0.3571468750014901,0.0020745410001836717,0.0001736249541863799,0.35939504095586017,True,Optimization terminated successfully.,55,111,1.3271930427073024
2.0,200,120,40,40,40,20260803,20260804,0.02885831278140906,0.061618627177292495,0.000356376762112881,0.5085889169713482,0.002076416974887252,0.00018225004896521568,0.5108475839952007,True,Optimization terminated successfully.,79,153,0.08027907283534313
2.5,200,120,40,40,40,20260903,20260904,0.035990426328866766,0.0730220442729479,0.0004497594816244919,0.6603860000032,0.0021080420119687915,0.00017908297013491392,0.6626731249853037,True,Optimization terminated successfully.,91,179,0.13913852713160862
3.0,200,120,40,40,40,20261003,20261004,0.10968540047747624,0.2192302374446342,0.0017812047346100718,0.28537104197312146,0.0021361670223996043,0.00017504201969131827,0.2876822510152124,True,Optimization terminated successfully.,45,90,1.1318266708587672
0.5,200,150,50,50,50,20260503,20260504,0.7538499521744759,1.7270970996247428,0.04293190522332629,0.5415639170096256,0.0023112499620765448,0.00018137501319870353,0.5440565419849008,True,Optimization terminated successfully.,78,155,0.7447292991689616
1.0,200,150,50,50,50,20260603,20260604,0.649339094710059,1.6377356526050857,0.00851813695203336,0.4044081660103984,0.0023369580158032477,0.00018220802303403616,0.4069273320492357,True,Optimization terminated successfully.,61,115,1.156624568823137
1.5,200,150,50,50,50,20260703,20260704,0.43083921702826417,0.8669280905048566,0.008647799653942172,0.4097789579536766,0.0023146249586716294,0.0001828339882194996,0.4122764169005677,True,Optimization terminated successfully.,60,116,1.3492154111795842
2.0,200,150,50,50,50,20260803,20260804,0.8248572726642948,1.2962147088202745,0.017208128589294002,0.3194651250378229,0.0023022080422379076,0.0001812080154195428,0.3219485410954803,True,Optimization terminated successfully.,45,91,1.5841044503800492
2.5,200,150,50,50,50,20260903,20260904,0.0987636418619194,0.18912056253807918,0.00244224988879037,0.33067070896504447,0.0022817919962108135,0.0001776670105755329,0.3331301679718308,True,Optimization terminated successfully.,48,94,0.9754665368253358
3.0,200,150,50,50,50,20261003,20261004,0.14152896634796394,0.2667873642867278,0.0023692786436967476,0.31649629201274365,0.002221749979071319,0.000220458023250103,0.3189385000150651,True,Optimization terminated successfully.,46,90,1.1974540431549017
0.5,200,200,68,66,66,20260503,20260504,0.6776746653733394,1.2453156436691728,0.03188633469512703,0.446583750017453,0.0027290830039419234,0.000191875034943223,0.44950470805633813,True,Optimization terminated successfully.,54,107,0.952766047426395
1.0,200,200,68,66,66,20260603,20260604,0.11349643588364623,0.34100820245498575,0.0016720452251482742,0.49136345798615366,0.0027622919878922403,0.0001949999714270234,0.4943207499454729,True,Optimization terminated successfully.,60,117,0.24949398589628674
1.5,200,200,68,66,66,20260703,20260704,0.3944148856005351,0.8707024240058399,0.006104379082164371,0.5503815420088358,0.0026622499572113156,0.0002109580091200769,0.5532547499751672,True,Optimization terminated successfully.,69,131,1.0381903935104333
2.0,200,200,68,66,66,20260803,20260804,0.7798565951338969,1.2413077646799202,0.016305509811357744,0.40231304202461615,0.002706833998672664,0.0002014999627135694,0.4052213759860024,True,Optimization terminated successfully.,48,95,1.4699481995904442
2.5,200,200,68,66,66,20260903,20260904,0.23263992207311524,0.2835954589092182,0.0062588809551686045,0.4822907500201836,0.002766165998764336,0.00019450002582743764,0.4852514160447754,True,Optimization terminated successfully.,55,109,1.0973245923536947
3.0,200,200,68,66,66,20261003,20261004,0.1976172374759143,0.32680285068490633,0.004186593136134173,0.40204866603016853,0.0027137920260429382,0.00018883304437622428,0.4049512911005877,True,Optimization terminated successfully.,47,96,1.494640609730551
0.5,400,240,80,80,80,20260503,20260504,0.04887913109862624,0.14830590843042657,0.0014688177554095922,1.8651132499799132,0.00816262501757592,0.00027950003277510405,1.8735553750302643,True,Optimization terminated successfully.,81,156,0.03232122043380148
1.0,400,240,80,80,80,20260603,20260604,0.5655720403663028,1.0329980599093092,0.02068152510296309,1.4488304170081392,0.007991834019776434,0.0002981250290758908,1.4571203760569915,True,Optimization terminated successfully.,59,122,1.0773570361322466
1.5,400,240,80,80,80,20260703,20260704,0.12404615732469447,0.2041558860060999,0.004172408935289495,1.1934855420258828,0.008156083000358194,0.0002822910319082439,1.2019239160581492,True,Optimization terminated successfully.,51,100,0.36267916805458644
2.0,400,240,80,80,80,20260803,20260804,0.08008825519553586,0.13385395712292336,0.0018936124438433362,1.6997231669956818,0.008307249983772635,0.0002869999734684825,1.708317416952923,True,Optimization terminated successfully.,70,142,0.03815509015446665
2.5,400,240,80,80,80,20260903,20260904,0.062035151664229946,0.12574649376420322,0.000978133633438681,1.417653332988266,0.008316666004247963,0.00028500001644715667,1.426254999008961,True,Optimization terminated successfully.,59,118,0.270283618031532
3.0,400,240,80,80,80,20261003,20261004,0.05731000887652746,0.08826608689350124,0.001364011122918983,2.203690375026781,0.008538125024642795,0.0002871250035241246,2.212515625054948,True,Optimization terminated successfully.,94,184,0.04342912984357021
0.5,400,300,100,100,100,20260503,20260504,0.5323100950933249,1.0395775814602146,0.026349518885871556,1.364771833003033,0.009274709038436413,0.00030187499942258,1.374348417040892,True,Optimization terminated successfully.,51,101,0.9584646614648614
1.0,400,300,100,100,100,20260603,20260604,0.05145285352772628,0.07407024811638507,0.0023855545504715063,2.4912152499891818,0.009314917027950287,0.00029975001234561205,2.5008299170294777,True,Optimization terminated successfully.,93,186,0.027947294576834397
1.5,400,300,100,100,100,20260703,20260704,0.06910541920102166,0.10482079649922582,0.002690971023153578,2.8715551249915734,0.00932858296437189,0.00029845902463421226,2.8811821669805795,True,Optimization terminated successfully.,113,214,0.03564454954746859
2.0,400,300,100,100,100,20260803,20260804,0.05203030607201347,0.11236973210365875,0.0012785971126669051,1.9492742089787498,0.00915591703960672,0.00030049995984882116,1.9587306259782054,True,Optimization terminated successfully.,77,146,0.041472329254418114
2.5,400,300,100,100,100,20260903,20260904,0.0164459880140353,0.06022256346457766,0.0006436627715206719,1.5866617920110002,0.009197750012390316,0.0002934170188382268,1.5961529590422288,True,Optimization terminated successfully.,60,119,0.06378248621545728
3.0,400,300,100,100,100,20261003,20261004,0.07349562021305431,0.12823140936949784,0.0010814694648744753,2.3951205420307815,0.009107416961342096,0.0002954169758595526,2.404523375967983,True,Optimization terminated successfully.,93,178,0.06932211456866089
0.5,400,400,134,133,133,20260503,20260504,0.021812740282894757,0.03522826389691147,0.0010253024494876165,2.3430600839783438,0.012185042025521398,0.0003320830292068422,2.355577209033072,True,Optimization terminated successfully.,69,136,0.03428498222868957
1.0,400,400,134,133,133,20260603,20260604,0.014674356114850164,0.025777673969791692,0.0006238965422172492,1.807639833947178,0.01205820799805224,0.00032762502087280154,1.820025666966103,True,Optimization terminated successfully.,52,104,0.03306344865765867
1.5,400,400,134,133,133,20260703,20260704,0.050580006589804466,0.08524227619595592,0.002170194258713831,3.3949522089678794,0.012223042023833841,0.00032900000223889947,3.407504250993952,True,Optimization terminated successfully.,102,196,0.028233617636907703
2.0,400,400,134,133,133,20260803,20260804,0.03592914893312468,0.10130275804139899,0.0009477629708403352,2.527625334041659,0.012260374962352216,0.00033845799043774605,2.5402241669944488,True,Optimization terminated successfully.,75,146,0.04437224226413786
2.5,400,400,134,133,133,20260903,20260904,0.010075041717766091,0.04817738919174985,0.0002624764082179292,2.4760739999474026,0.01218287501251325,0.0003255839692428708,2.4885824589291587,True,Optimization terminated successfully.,69,134,0.057832731374237556
3.0,400,400,134,133,133,20261003,20261004,0.05652439851996071,0.09819950445259451,0.0007814377757764751,3.067431374976877,0.012075750040821731,0.00032525003189221025,3.079832375049591,True,Optimization terminated successfully.,92,179,0.0667196612198519
0.5,600,360,120,120,120,20260503,20260504,0.01900687637988589,0.04739746849839044,0.0004097992728796585,5.154791124979965,0.019040500046685338,0.00041620800038799644,5.174247833027039,True,Optimization terminated successfully.,91,178,0.010185189915355816
1.0,600,360,120,120,120,20260603,20260604,0.012762679385317957,0.02707921887051512,0.00015715812389422936,5.6702455000486225,0.018989791977219284,0.00039237499004229903,5.689627667015884,True,Optimization terminated successfully.,104,195,0.026547636978459556
1.5,600,360,120,120,120,20260703,20260704,0.017466795285615167,0.02984531339704688,0.0008099266795321916,3.6533016249886714,0.019246542011387646,0.0004027499817311764,3.67295091698179,True,Optimization terminated successfully.,67,132,0.02497041833540557
2.0,600,360,120,120,120,20260803,20260804,0.0303366317742702,0.0411169728562335,0.0007187628818996166,3.5374950419645756,0.019224457966629416,0.0003874580143019557,3.557106957945507,True,Optimization terminated successfully.,67,129,0.03432596256885818
2.5,600,360,120,120,120,20260903,20260904,0.03307840024633883,0.06289447848715035,0.0006022098227353969,3.8893554160022177,0.01938395801698789,0.00039258296601474285,3.9091319569852203,True,Optimization terminated successfully.,73,142,0.025449945682464246
3.0,600,360,120,120,120,20261003,20261004,0.019716685442663796,0.09934226076737218,0.000612127774694562,3.777391457988415,0.020438458013813943,0.00040066696237772703,3.7982305829646066,True,Optimization terminated successfully.,71,137,0.042231406827161755
0.5,600,450,150,150,150,20260503,20260504,0.034376444483037075,0.0900896720730806,0.0009707300671767666,5.784254083002452,0.023312332981731743,0.0004115839838050306,5.807977999967989,True,Optimization terminated successfully.,91,176,0.013158277070099068
1.0,600,450,150,150,150,20260603,20260604,0.2735843764559346,0.6108277108402049,0.008966066253849967,3.5181430829688907,0.023278791981283575,0.0004844579962082207,3.5419063329463825,True,Optimization terminated successfully.,53,108,0.9159319772709349
1.5,600,450,150,150,150,20260703,20260704,0.013140783805501901,0.022631744303879486,0.0005952104322196204,4.3402401250205,0.023640999977942556,0.00042741699144244194,4.364308541989885,True,Optimization terminated successfully.,71,132,0.026277395902593523
2.0,600,450,150,150,150,20260803,20260804,0.026121834372501214,0.03555188872603399,0.0006071588095803107,4.45654620899586,0.02347904199268669,0.0004264999879524112,4.480451750976499,True,Optimization terminated successfully.,72,136,0.03721212517423919
2.5,600,450,150,150,150,20260903,20260904,0.01682342617497807,0.04460669757182245,0.0003928619039328844,5.635819624993019,0.02377329202136025,0.0004153749905526638,5.660008292004932,True,Optimization terminated successfully.,86,169,0.0217802817843585
3.0,600,450,150,150,150,20261003,20261004,0.019732635583683034,0.09625355833182425,0.0006111452952205375,4.522996208048426,0.023363124986644834,0.0004824170027859509,4.546841750037856,True,Optimization terminated successfully.,71,136,0.06156941105677016
0.5,600,600,200,200,200,20260503,20260504,0.026858035672858993,0.0662933732857045,0.0006031145509026595,7.0060249590314925,0.028816332982387394,0.00045612500980496407,7.035297417023685,True,Optimization terminated successfully.,86,173,0.014910349643727248
1.0,600,600,200,200,200,20260603,20260604,0.005509923588511764,0.0124293028891298,0.00019541266402395798,5.782583084015641,0.029723667015787214,0.00046374998055398464,5.812770501011983,True,Optimization terminated successfully.,74,143,0.04823452345308365
1.5,600,600,200,200,200,20260703,20260704,0.017239153112670193,0.029553999440537382,0.0008126483516526463,5.546792416018434,0.028861167025752366,0.00044825003715232015,5.5761018330813386,True,Optimization terminated successfully.,71,137,0.025005302436211907
2.0,600,600,200,200,200,20260803,20260804,0.03620021515111184,0.046288011412570995,0.000908110290093737,5.154438041965477,0.029468290973454714,0.00047920900397002697,5.184385541942902,True,Optimization terminated successfully.,66,127,0.04523802620101415
2.5,600,600,200,200,200,20260903,20260904,0.020450315969745624,0.038093200904384616,0.0004883729016521564,4.608319208957255,0.02900337503524497,0.0004502920201048255,4.637772876012605,True,Optimization terminated successfully.,58,114,0.030371249485685002
3.0,600,600,200,200,200,20261003,20261004,0.026291550480029947,0.0939112791849368,0.000653743330549311,4.541941958013922,0.028956082998774946,0.0004801659961231053,4.57137820700882,True,Optimization terminated successfully.,57,113,0.059720159222956516
