metric,mean,median,std,min,max
mae,0.05503811057012422,0.05560984621617894,0.012633915682399225,0.029890841156517543,0.08608661218922717
max_abs_error,0.20643397587541257,0.2041785366690796,0.056503340663432926,0.09892146047741335,0.3516734723625259
mre_itm,0.0011324758278453916,0.0011008402904235087,0.00026129155771107223,0.0006618519200059517,0.0016510024532352602
mean_posterior_std,0.0027861722412763,0.0026535073624552675,0.00045684300550248276,0.0023605675487046833,0.003986399955149289
max_posterior_std,0.00904879825001564,0.006028990769889385,0.006396375716402461,0.003916172777473086,0.026881916435075114
optimization_time_sec,107.93134205401293,104.75830464554019,14.502875881766647,92.19887354189996,158.52192866592668
final_fit_time_sec,0.8646381517872215,0.8513572494848631,0.08524563697113277,0.7292741660494357,1.1283863770077005
pricing_time_sec,0.010580935515463352,0.010602708440274,0.000894664053831146,0.009253416093997657,0.012761582154780626
posterior_std_time_sec,0.20687845227657817,0.2043451454374008,0.030334527034810828,0.16518695908598602,0.2630955420900136
total_gpr_price_time_sec,108.80656114131561,105.52735387516441,14.577441317821542,92.937574373791,159.66307662508916
total_gpr_with_std_time_sec,109.0134395935922,105.70162591716507,14.594386810057681,93.12648374773562,159.92058995831758
