metric,mean,median,std,min,max
mae,0.0494581368857751,0.04917212593292638,0.011275838383354043,0.029294986893028334,0.06997037671587088
max_abs_error,0.20123642866164887,0.18105726845826386,0.060183367101606856,0.11820223514456529,0.3279641497441048
mre_itm,0.0010100791008548341,0.0010309083276737589,0.0002487294579893189,0.000562611452368905,0.001572858766572886
mean_posterior_std,0.0023798950969187516,0.002319877730221324,0.0002090891905595692,0.00207576193948728,0.0029156791666643603
max_posterior_std,0.006659867464652141,0.006028650349077623,0.002868945587847251,0.003284297580922802,0.01572099930281596
optimization_time_sec,127.94102101459866,124.72985998098738,8.969371711146247,116.06488071009517,144.2474900392117
final_fit_time_sec,0.9792204371653497,0.9817671874188818,0.011164161027785481,0.9519142060307786,0.9972139589954168
pricing_time_sec,0.010137993871467188,0.010195541428402066,0.00021044260508373873,0.009768499992787838,0.010547124082222581
posterior_std_time_sec,0.252594366640551,0.25397949951002374,0.007236792857899853,0.23559170798398554,0.2596274169627577
total_gpr_price_time_sec,128.93037944563548,125.70951656467514,8.969923665393422,117.03150825109333,145.24437145527918
total_gpr_with_std_time_sec,129.18297381227603,125.95405375171686,8.969919303847568,117.2688439580379,145.50322741328273
