seed_index,seed_base,maturity,n_int,n_bd,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,series_benchmark_time_sec,total_gpr_price_time_sec,total_gpr_with_std_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0,20260701,0.5,800,800,0.03681458598695886,0.09613216809040281,0.001584175158057017,0.0017820572231186233,0.0022326615950177767,13.850873333984055,0.1148870000615716,0.0015656659379601479,0.03359099989756942,0.028063916019164026,13.967325999983586,14.000916999881156,True,Optimization terminated successfully.,42,79,0.026425621094498343
0,20260701,1.0,800,800,0.030372121028655795,0.06269982350798209,0.0006305245405871533,0.001741937901259154,0.001848555769511568,15.527255833032541,0.12264600000344217,0.0017224999610334635,0.03875383303966373,0.035365000017918646,15.651624332997017,15.69037816603668,True,Optimization terminated successfully.,39,76,0.013711291781969167
0,20260701,1.5,800,800,0.025330120430795404,0.0471274602513887,0.0005098557500494064,0.002030124758008402,0.002338168884226661,16.16641487495508,0.12408483296167105,0.0013923749793320894,0.03218770807143301,0.04201141698285937,16.291892082896084,16.324079790967517,True,Optimization terminated successfully.,48,90,0.02945032783481021
0,20260701,2.0,800,800,0.07754480088440023,0.12164635136419122,0.0017532816332980403,0.0027730220725269207,0.0037043621065445493,14.81267662497703,0.1123514580540359,0.0019198330119252205,0.029089750023558736,0.044764709076844156,14.926947916042991,14.95603766606655,True,Optimization terminated successfully.,43,82,0.03505005044560178
0,20260701,2.5,800,800,0.016374163044875063,0.05731798607193639,0.0001353340315044092,0.002597876954790684,0.003057768740665146,15.180200792034157,0.13845450000371784,0.001432166900485754,0.027572207967750728,0.0641270000487566,15.32008745893836,15.347659666906111,True,Optimization terminated successfully.,42,84,0.03294227084852881
0,20260701,3.0,800,800,0.08197243642220159,0.22265810232011063,0.001331501605428055,0.003496129810726537,0.00552594513397171,16.661452082917094,0.11685037496499717,0.0013941250508651137,0.027714874944649637,0.056328458013013005,16.779696582932957,16.807411457877606,True,Optimization terminated successfully.,50,94,0.04079861508256699
1,20270701,0.5,800,800,0.0484946882613911,0.15514057633171774,0.001445287650441611,0.0018050013948798425,0.0021959121507779734,20.863302875077352,0.1291064170654863,0.0018835419323295355,0.03151670901570469,0.02885704196523875,20.994292834075168,21.025809543090872,True,Optimization terminated successfully.,58,115,0.03602471110148804
1,20270701,1.0,800,800,0.07069432738241636,0.1356398909279548,0.001793428401268285,0.002611987660507867,0.004543257535403357,19.427125292015262,0.12717462494038045,0.0014434170443564653,0.02711454196833074,0.03629029099829495,19.555743334,19.58285787596833,True,Optimization terminated successfully.,54,102,0.03610836706351126
1,20270701,1.5,800,800,0.04137192357236549,0.08948046856535541,0.0005134351698960652,0.00226280287231589,0.0033299181678410976,15.058930416009389,0.1191445830045268,0.001429458032362163,0.027740541961975396,0.0416661249473691,15.179504457046278,15.207244999008253,True,Optimization terminated successfully.,43,82,0.048994219243909745
1,20270701,2.0,800,800,0.021625393404140134,0.04618971132323857,0.000337973910995175,0.0022130349378956886,0.0023752794144684636,19.81231483304873,0.1391330840997398,0.0015218330081552267,0.025607542018406093,0.04689987504389137,19.952969750156626,19.978577292175032,True,Optimization terminated successfully.,56,108,0.07822573219108359
1,20270701,2.5,800,800,0.026891410900391866,0.04446117257843696,0.0005628513782735662,0.003024277307679045,0.0035965455396090597,15.601065957918763,0.13701149995904416,0.0015491670928895473,0.028400416020303965,0.05071550002321601,15.739626624970697,15.768027040991,True,Optimization terminated successfully.,43,82,0.06421897521452796
1,20270701,3.0,800,800,0.10991784200790558,0.19356039098889255,0.0023255527643303254,0.0028570183338016636,0.0033865874827021703,16.325221125036478,0.11864495894405991,0.0014610419748350978,0.028920583077706397,0.06338549999054521,16.445327125955373,16.47424770903308,True,Optimization terminated successfully.,48,91,0.10610710266200352
2,20280701,0.5,800,800,0.010181550561168113,0.02186846754644023,0.00022341742722309585,0.0017988400057072096,0.002298402535931375,13.099599084001966,0.12581925000995398,0.0013713750522583723,0.0348531249910593,0.03190429206006229,13.226789709064178,13.261642834055237,True,Optimization terminated successfully.,38,70,0.023732021830213175
2,20280701,1.0,800,800,0.050844742699728225,0.09155989229384431,0.001469124651790948,0.0021341255231232268,0.0025224254532009763,20.376928000012413,0.11676754092331976,0.0016686670714989305,0.029620375018566847,0.03708525002002716,20.49536420800723,20.524984583025798,True,Optimization terminated successfully.,59,110,0.021249323431231468
2,20280701,1.5,800,800,0.02556275158382578,0.0419445262797602,0.00043441379569499983,0.0020621912289805508,0.0023437953234031594,21.914279332966544,0.13548283302225173,0.0013907910324633121,0.022943416028283536,0.04311766603495926,22.05115295702126,22.074096373049542,True,Optimization terminated successfully.,59,111,0.0845392689406582
2,20280701,2.0,800,800,0.0603014674966426,0.07289145900316285,0.0011281863344086084,0.0023673519539271926,0.00354712542824837,17.040565749979578,0.12322783400304615,0.0015193329891189933,0.03276837500743568,0.04957366699818522,17.165312916971743,17.19808129197918,True,Optimization terminated successfully.,46,87,0.05101693082621793
2,20280701,2.5,800,800,0.05512746982359066,0.19891468878738294,0.0006916414295063716,0.0035553019735189576,0.007244359983872559,14.54053162492346,0.12058370804879814,0.0014723329804837704,0.02818695898167789,0.05603566695936024,14.662587665952742,14.69077462493442,True,Optimization terminated successfully.,39,79,0.020169500044211176
2,20280701,3.0,800,800,0.0841529890814649,0.18335114502656324,0.0014804627204372761,0.004892094907456782,0.011135201774712446,15.45674500009045,0.12746025004889816,0.0018309169681742787,0.030871499911881983,0.06253616698086262,15.586036167107522,15.616907667019404,True,Optimization terminated successfully.,41,81,0.03137784596375172
