seed_index,seed_base,n_int,n_bd,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,series_benchmark_time_sec,total_gpr_price_time_sec,total_gpr_with_std_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
0,20260701,1000,1000,6,76,0.03027041972197769,0.14463619702091535,0.0006196608932962426,0.002486665332332581,0.005202128622885487,124.46766737813596,0.9578063752269372,0.009960125084035099,0.23559170798398554,0.2305557088693604,125.43543387844693,125.67102558643091,6,0,0.03469202355214787,0.06816119777989861
1,20270701,1000,1000,6,76,0.05065349141578681,0.11820223514456529,0.0010303833584155394,0.0022614612523425793,0.0040444140520289,116.06488071009517,0.9565504560014233,0.01007708499673754,0.2373357069445774,0.23147479014005512,117.03150825109333,117.2688439580379,6,0,0.037041215692503716,0.07677786398721038
2,20280701,1000,1000,6,76,0.036351242625919496,0.22855629112791576,0.0006666103154439762,0.0022875739775752,0.005082790893922096,135.5279981259955,0.9519142060307786,0.010366541100665927,0.2364642898319289,0.2298036658903584,136.49027887312695,136.72674316295888,6,0,0.0406166334251149,0.0546273524471419
3,20290701,1000,1000,6,76,0.029294986893028334,0.1597441136962061,0.000562611452368905,0.002255331768953897,0.006307892450378659,119.354207123979,0.9972139589954168,0.010547124082222581,0.2590721679152921,0.23110445810016245,120.36196820705663,120.62104037497193,6,0,0.03235811301831164,0.03783632276236616
4,20300701,1000,1000,6,76,0.06997037671587088,0.18551933936305431,0.001572858766572886,0.0021114409220265857,0.004933417534617661,135.3525900009554,0.9823632909683511,0.010312917060218751,0.25226612493861467,0.22959666687529534,136.34526620898396,136.59753233392257,6,0,0.03951270879880884,0.11276285033644569
5,20310701,1000,1000,6,76,0.0504597641357789,0.16795218061091965,0.0011697861728924047,0.002310526485773202,0.006013620655219121,126.8201281670481,0.9912777479039505,0.010199374868534505,0.2534246681025252,0.23106212506536394,127.82160528982058,128.0750299579231,6,0,0.0395748505126066,0.07067042667062809
6,20320701,1000,1000,6,76,0.05998347316232608,0.2637692726520484,0.001259509648727269,0.002406114067367898,0.008338936075095007,124.12400308286306,0.9843245840165764,0.009869124041870236,0.25604704103898257,0.23232387413736433,125.1181967909215,125.37424383196048,6,0,0.034347653693325465,0.04390546047185437
7,20330701,1000,1000,6,76,0.050650200410206084,0.23375038783569835,0.0010691369795082651,0.002203560974589688,0.0037845836463956447,144.2474900392117,0.9864942081039771,0.010387207963503897,0.25885595800355077,0.23058045899961144,145.24437145527918,145.50322741328273,6,0,0.03235529689120047,0.07643246306438159
8,20340701,1000,1000,6,76,0.04788448773007386,0.25371028060953904,0.0010272121326251715,0.002412366202013462,0.008455168801005108,130.11454241676256,0.9870052930200472,0.009851583046838641,0.2527528339996934,0.2313730822643265,131.11139929282945,131.36415212682914,6,0,0.028603574283598804,0.04079428740502266
9,20350701,1000,1000,6,76,0.03999952815588751,0.18345267573197077,0.0008721167070887666,0.00229397800764834,0.007218902197141404,136.4921715828823,0.9870090408949181,0.010212499997578561,0.25779358425643295,0.23103841813281178,137.4893931237748,137.74718670803122,6,0,0.0354117116124237,0.06407399813840968
