seed_index,seed_base,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0,20260701,0.5,800,800,1.0,0.6620204215281276,0.1950101738872769,,-0.4124588752911257,-1.6347035479984875,100.0,1.0,0.8,1.2,0.026425621094498343,True,42,79
0,20260701,1.0,800,800,1.0,0.6676256508995686,0.27308468736541325,,-0.4040276653748126,-1.2979733217726726,100.0,1.0,0.8,1.2,0.013711291781969167,True,39,76
0,20260701,1.5,800,800,1.0,0.8597635102747836,0.26814528498277324,,-0.1510979156033082,-1.3162263372141407,100.0,1.0,0.8,1.2,0.02945032783481021,True,48,90
0,20260701,2.0,800,800,1.0,0.8467199022602623,0.2654594980173981,,-0.16638533292897123,-1.3262929997773625,100.0,1.0,0.8,1.2,0.03505005044560178,True,43,82
0,20260701,2.5,800,800,1.0,0.8829217333312,0.30198576221242146,,-0.12451871953069693,-1.1973754077106094,100.0,1.0,0.8,1.2,0.03294227084852881,True,42,84
0,20260701,3.0,800,800,1.0,1.3615999372659555,0.37901370446622695,,0.3086604327632021,-0.9701829150119552,100.0,1.0,0.8,1.2,0.04079861508256699,True,50,94
1,20270701,0.5,800,800,1.0,0.6767514453700081,0.24222507258636364,,-0.3904512147382406,-1.417887933046077,100.0,1.0,0.8,1.2,0.03602471110148804,True,58,115
1,20270701,1.0,800,800,1.0,0.4862186711519199,0.20090882495902487,,-0.7210968156327706,-1.6049040810029456,100.0,1.0,0.8,1.2,0.03610836706351126,True,54,102
1,20270701,1.5,800,800,1.0,0.5054004761834113,0.34446350566236633,,-0.682404141837329,-1.0657671283564927,100.0,1.0,0.8,1.2,0.048994219243909745,True,43,82
1,20270701,2.0,800,800,1.0,1.1445754232570913,0.34106536926532616,,0.1350337588569507,-1.0756811213451765,100.0,1.0,0.8,1.2,0.07822573219108359,True,56,108
1,20270701,2.5,800,800,1.0,0.9716681884814906,0.370067093618141,,-0.02874090267666711,-0.9940709556798244,100.0,1.0,0.8,1.2,0.06421897521452796,True,43,82
1,20270701,3.0,800,800,1.0,2.755809711881571,0.3247875669453865,,1.0137113057319795,-1.1245839505363096,100.0,1.0,0.8,1.2,0.10610710266200352,True,48,91
2,20280701,0.5,800,800,1.0,0.5960354623693326,0.1723648817905187,,-0.5174551130671934,-1.758141643413741,100.0,1.0,0.8,1.2,0.023732021830213175,True,38,70
2,20280701,1.0,800,800,1.0,0.6137240475697489,0.22812831744881365,,-0.4882098857861824,-1.4778470125097436,100.0,1.0,0.8,1.2,0.021249323431231468,True,59,110
2,20280701,1.5,800,800,1.0,1.091087864562415,0.33016378952383957,,0.08717523941232988,-1.1081664157631197,100.0,1.0,0.8,1.2,0.0845392689406582,True,59,111
2,20280701,2.0,800,800,1.0,1.0035683826467898,0.2650232246608051,,0.003562031074841022,-1.3279378166066422,100.0,1.0,0.8,1.2,0.05101693082621793,True,46,87
2,20280701,2.5,800,800,1.0,0.7944178702464257,0.22824959215177584,,-0.23014567122923224,-1.4773155463573924,100.0,1.0,0.8,1.2,0.020169500044211176,True,39,79
