m,n_int,n_bd,maturity,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,total_gpr_time_sec,series_benchmark_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
1000,1000,1000,0.5,334,333,333,20290702,20290703,0.011767369926903576,0.03645418520374477,0.00023790463396919498,0.0015739054769499828,0.0017196941697781216,26.200891749933362,0.4104001249652356,0.0026555409422144294,0.11851808300707489,26.732465498847887,0.044727582950145006,True,Optimization terminated successfully.,26,52,0.0352302228156047
1000,1000,1000,1.0,334,333,333,20290802,20290803,0.012795135426383261,0.04275693895563393,0.00023697418104884894,0.0016811028093207513,0.0021193184528487193,49.132676125038415,0.44000629207585007,0.003313791938126087,0.11940054094884545,49.69539675000124,0.11747483303770423,True,Optimization terminated successfully.,43,80,0.043712381931960795
1000,1000,1000,1.5,334,333,333,20290902,20290903,0.04595546505016117,0.12156977737294028,0.0009779648337038343,0.0018572532559761167,0.002203281514592567,36.46157437504735,0.28887225000653416,0.002539832959882915,0.10339925007428974,36.856385708088055,0.06569149997085333,True,Optimization terminated successfully.,38,75,0.04300130815565398
1000,1000,1000,2.0,334,333,333,20291002,20291003,0.03357396636106479,0.09195489874396401,0.0005028930572321389,0.0018984362051327939,0.0023869833166317873,34.07292983296793,0.19925620802678168,0.0023447079584002495,0.0703577499371022,34.344888498890214,0.07810912502463907,True,Optimization terminated successfully.,44,84,0.04448007206289363
1000,1000,1000,2.5,334,333,333,20291102,20291103,0.05798194792253441,0.2159402350121553,0.0009106778351802191,0.002807983158820142,0.006228142069645628,28.07747687504161,0.2022113329730928,0.0020494579803198576,0.06722391699440777,28.348961582989432,0.08061712491326034,True,Optimization terminated successfully.,42,80,0.0406975679126684
1000,1000,1000,3.0,334,333,333,20291202,20291203,0.08039008480036952,0.2789288404400594,0.0013243030987727222,0.004237247302180477,0.0070932837438250716,15.077362874988467,0.17252841603476554,0.0018149999668821692,0.05927554203663021,15.310981833026744,0.0856306670466438,True,Optimization terminated successfully.,28,53,0.056039712057922436
