maturity,S0,x0,reference_series,series_benchmark_time_sec
0.5,50.0,3.912023005428146,0.04290971526798055,0.044727582950145006
0.5,52.0,3.9512437185814275,0.06266883927275249,0.044727582950145006
0.5,54.0,3.9889840465642745,0.08983772272111767,0.044727582950145006
0.5,56.0,4.02535169073515,0.1266154742677539,0.044727582950145006
0.5,58.0,4.060443010546419,0.1756917662051325,0.044727582950145006
0.5,60.0,4.0943445622221,0.24030368874687533,0.044727582950145006
0.5,62.0,4.127134385045092,0.3242723929420237,0.044727582950145006
0.5,64.0,4.1588830833596715,0.4320074747319049,0.044727582950145006
0.5,66.0,4.189654742026425,0.5684690553216529,0.044727582950145006
0.5,68.0,4.219507705176107,0.739081915330892,0.044727582950145006
0.5,70.0,4.248495242049359,0.9496020611729927,0.044727582950145006
0.5,72.0,4.276666119016055,1.20594255443976,0.044727582950145006
0.5,74.0,4.30406509320417,1.5139710617695286,0.044727582950145006
0.5,76.0,4.330733340286331,1.8792953740321154,0.044727582950145006
0.5,78.0,4.356708826689592,2.307054544315593,0.044727582950145006
0.5,80.0,4.382026634673881,2.8017322637159805,0.044727582950145006
0.5,82.0,4.406719247264253,3.36700603530055,0.044727582950145006
0.5,84.0,4.430816798843313,4.005641310083409,0.044727582950145006
0.5,86.0,4.454347296253507,4.719434808375132,0.044727582950145006
0.5,88.0,4.477336814478207,5.509206500551597,0.044727582950145006
0.5,90.0,4.499809670330265,6.374835727339904,0.044727582950145006
0.5,92.0,4.5217885770490405,7.315334042109846,0.044727582950145006
0.5,94.0,4.543294782270004,8.32894567484307,0.044727582950145006
0.5,96.0,4.564348191467836,9.413265983456679,0.044727582950145006
0.5,98.0,4.584967478670572,10.565368679852268,0.044727582950145006
0.5,100.0,4.605170185988092,11.781933735753901,0.044727582950145006
0.5,102.0,4.624972813284271,13.059369413493485,0.044727582950145006
0.5,104.0,4.6443908991413725,14.393923580708023,0.044727582950145006
0.5,106.0,4.663439094112067,15.7817811550529,0.044727582950145006
0.5,108.0,4.68213122712422,17.21914604304129,0.044727582950145006
0.5,110.0,4.700480365792417,18.702307200461515,0.044727582950145006
0.5,112.0,4.718498871295094,20.227689414114185,0.044727582950145006
0.5,114.0,4.736198448394496,21.79189008734632,0.044727582950145006
0.5,116.0,4.7535901911063645,23.391703732438852,0.044727582950145006
0.5,118.0,4.770684624465665,25.024136073672405,0.044727582950145006
0.5,120.0,4.787491742782046,26.686409694181023,0.044727582950145006
0.5,122.0,4.804021044733257,28.37596306532845,0.044727582950145006
0.5,124.0,4.820281565605037,30.09044462228445,0.044727582950145006
0.5,126.0,4.836281906951478,31.82770332966826,0.044727582950145006
0.5,128.0,4.852030263919617,33.585776944536,0.044727582950145006
0.5,130.0,4.867534450455582,35.36287895097316,0.044727582950145006
0.5,132.0,4.882801922586371,37.15738492464654,0.044727582950145006
0.5,134.0,4.897839799950911,38.96781889481921,0.044727582950145006
0.5,136.0,4.912654885736052,40.79284010915202,0.044727582950145006
0.5,138.0,4.927253685157205,42.631230473584985,0.044727582950145006
0.5,140.0,4.941642422609304,44.48188283409376,0.044727582950145006
0.5,142.0,4.955827057601261,46.3437901862744,0.044727582950145006
0.5,144.0,4.969813299576001,48.216035839040224,0.044727582950145006
0.5,146.0,4.983606621708336,50.09778451657963,0.044727582950145006
0.5,148.0,4.997212273764115,51.98827435462109,0.044727582950145006
0.5,150.0,5.0106352940962555,53.88680972985104,0.044727582950145006
0.5,152.0,5.0238805208462765,55.792754852292035,0.044727582950145006
0.5,154.0,5.0369526024136295,57.70552804731632,0.044727582950145006
0.5,156.0,5.049856007249537,59.62459665491565,0.044727582950145006
0.5,158.0,5.062595033026967,61.549472477450465,0.044727582950145006
0.5,160.0,5.075173815233827,63.47970771227884,0.044727582950145006
0.5,162.0,5.087596335232384,65.41489131163793,0.044727582950145006
0.5,164.0,5.099866427824199,67.35464571835092,0.044727582950145006
0.5,166.0,5.111987788356544,69.298623932004,0.044727582950145006
0.5,168.0,5.123963979403259,71.24650686593536,0.044727582950145006
0.5,170.0,5.135798437050262,73.19800096057398,0.044727582950145006
0.5,172.0,5.147494476813453,75.15283602330642,0.044727582950145006
0.5,174.0,5.159055299214529,77.11076326912534,0.044727582950145006
0.5,176.0,5.170483995038151,79.07155353983354,0.044727582950145006
0.5,178.0,5.181783550292085,81.03499568261499,0.044727582950145006
0.5,180.0,5.19295685089021,83.000895071352,0.044727582950145006
0.5,182.0,5.204006687076795,84.96907225626045,0.044727582950145006
0.5,184.0,5.214935757608986,86.93936172925402,0.044727582950145006
0.5,186.0,5.225746673713202,88.91161079400601,0.044727582950145006
0.5,188.0,5.236441962829949,90.88567853099335,0.044727582950145006
0.5,190.0,5.247024072160486,92.86143484891494,0.044727582950145006
0.5,192.0,5.2574953720277815,94.83875961482099,0.044727582950145006
0.5,194.0,5.267858159063328,96.81754185609752,0.044727582950145006
0.5,196.0,5.278114659230517,98.79767902813816,0.044727582950145006
0.5,198.0,5.288267030694535,100.77907634213713,0.044727582950145006
0.5,200.0,5.298317366548036,102.76164614795363,0.044727582950145006
1.0,50.0,3.912023005428146,0.3997944375784449,0.11747483303770423
1.0,52.0,3.9512437185814275,0.5266421465377907,0.11747483303770423
1.0,54.0,3.9889840465642745,0.6824559806947289,0.11747483303770423
1.0,56.0,4.02535169073515,0.8709914772282653,0.11747483303770423
1.0,58.0,4.060443010546419,1.0959413362506631,0.11747483303770423
1.0,60.0,4.0943445622221,1.3608495690664832,0.11747483303770423
1.0,62.0,4.127134385045092,1.669032260455397,0.11747483303770423
1.0,64.0,4.1588830833596715,2.023508582387541,0.11747483303770423
1.0,66.0,4.189654742026425,2.4269446727108646,0.11747483303770423
1.0,68.0,4.219507705176107,2.881611895014033,0.11747483303770423
1.0,70.0,4.248495242049359,3.3893599451136933,0.11747483303770423
1.0,72.0,4.276666119016055,3.951604354083521,0.11747483303770423
1.0,74.0,4.30406509320417,4.5693272113754,0.11747483303770423
1.0,76.0,4.330733340286331,5.2430894162413715,0.11747483303770423
1.0,78.0,4.356708826689592,5.973052457304366,0.11747483303770423
1.0,80.0,4.382026634673881,6.759007596428558,0.11747483303770423
1.0,82.0,4.406719247264253,7.600410360929758,0.11747483303770423
1.0,84.0,4.430816798843313,8.496418390220509,0.11747483303770423
1.0,86.0,4.454347296253507,9.44593090232866,0.11747483303770423
1.0,88.0,4.477336814478207,10.447628309276913,0.11747483303770423
1.0,90.0,4.499809670330265,11.500010790617953,0.11747483303770423
1.0,92.0,4.5217885770490405,12.601434910323878,0.11747483303770423
