m,d,n_terminal,n_lower,n_upper,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,benchmark_time_sec,total_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
200,200,68,66,66,6,51,0.21537919202592384,1.6493558799880288,0.006850338407508015,0.0035269753116670575,0.024153580538088814,1.1549940831027925,0.01773862587288022,0.0011278759920969605,0.005253958981484175,0.000663332873955369,1.1797778768232092,6,0,0.8328162410256232,1.7634608664245754
400,400,134,133,133,6,51,0.06092259394335331,0.1606494410450381,0.0021944196220522265,0.003789678250384022,0.09235994569368129,6.484511789865792,0.0723365000449121,0.002046999172307551,0.019784292089752853,0.000571583048440516,6.579251164221205,6,0,0.05367248084391274,0.08367781412321446
600,600,200,200,200,6,51,0.04534477240200835,0.13045823042526195,0.0014284296144864235,0.0021297550346282865,0.006797087739790723,21.801449583959766,0.17240770708303899,0.0028300831327214837,0.04731879197061062,0.0006079169688746333,22.02461408311501,6,0,0.05098904234618017,0.09697415175667695
800,800,268,266,266,6,51,0.02743849390022086,0.07763834341201914,0.0007396607587903714,0.0017997149410074048,0.006597975674140904,24.392128540901467,0.3823389590252191,0.003522542887367308,0.11157995893154293,0.0005915398942306638,24.890161541639827,6,0,0.05327539808017845,0.13606283189812776
