maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0.5,3000,3000,1.0,0.15329131993367043,0.14443003205793395,,-1.875415116144667,-1.9349600959073474,100.0,1.0,0.8,1.2,0.0070189993248173255,True,41,78
1.0,3000,3000,1.0,0.28686124660246337,0.17081003804577646,,-1.2487566414430773,-1.7672032285947856,100.0,1.0,0.8,1.2,0.01038476153535113,True,43,82
1.5,3000,3000,1.0,0.8137719659110011,0.16053224507493702,,-0.20607509238465618,-1.8292604526968625,100.0,1.0,0.8,1.2,0.01868405999030908,True,49,95
2.0,3000,3000,1.0,0.6624902516453,0.14479197274840094,,-0.4117494357276795,-1.9324572373876339,100.0,1.0,0.8,1.2,0.009924517132047318,True,45,89
2.5,3000,3000,1.0,0.34929584458203206,0.18560697526292244,,-1.0518360236557105,-1.684123877100658,100.0,1.0,0.8,1.2,0.008779434863151744,True,45,86
3.0,3000,3000,1.0,0.7727108638665713,0.2069666974427404,,-0.2578503445237673,-1.5751973805787807,100.0,1.0,0.8,1.2,0.01341204914774144,True,51,94
