maturity,S0,x0,reference_series,series_benchmark_time_sec
0.5,50.0,3.912023005428146,0.0051486440495878355,0.02193208399694413
0.5,52.0,3.9512437185814275,0.008377958148429973,0.02193208399694413
0.5,54.0,3.9889840465642745,0.013378036830040954,0.02193208399694413
0.5,56.0,4.02535169073515,0.021019675576752724,0.02193208399694413
0.5,58.0,4.060443010546419,0.032552455448192436,0.02193208399694413
0.5,60.0,4.0943445622221,0.049725782269712915,0.02193208399694413
0.5,62.0,4.127134385045092,0.07491674552597301,0.02193208399694413
0.5,64.0,4.1588830833596715,0.11124936443370328,0.02193208399694413
0.5,66.0,4.189654742026425,0.162686562632769,0.02193208399694413
0.5,68.0,4.219507705176107,0.23407602731490607,0.02193208399694413
0.5,70.0,4.248495242049359,0.3311343956138091,0.02193208399694413
0.5,72.0,4.276666119016055,0.460360586671788,0.02193208399694413
0.5,74.0,4.30406509320417,0.6288774704665451,0.02193208399694413
0.5,76.0,4.330733340286331,0.8442099317649724,0.02193208399694413
0.5,78.0,4.356708826689592,1.114015210990583,0.02193208399694413
0.5,80.0,4.382026634673881,1.4457869475620015,0.02193208399694413
0.5,82.0,4.406719247264253,1.8465569023935877,0.02193208399694413
0.5,84.0,4.430816798843313,2.3226177734407636,0.02193208399694413
0.5,86.0,4.454347296253507,2.8792872436591264,0.02193208399694413
0.5,88.0,4.477336814478207,3.520728180060247,0.02193208399694413
0.5,90.0,4.499809670330265,4.249833667682143,0.02193208399694413
0.5,92.0,4.5217885770490405,5.06817922746257,0.02193208399694413
0.5,94.0,4.543294782270004,5.9760388900148405,0.02193208399694413
0.5,96.0,4.564348191467836,6.972457300673125,0.02193208399694413
0.5,98.0,4.584967478670572,8.055366981030184,0.02193208399694413
0.5,100.0,4.605170185988092,9.221738302558416,0.02193208399694413
0.5,102.0,4.624972813284271,10.467749493233233,0.02193208399694413
0.5,104.0,4.6443908991413725,11.788964837331843,0.02193208399694413
0.5,106.0,4.663439094112067,13.180510827470492,0.02193208399694413
0.5,108.0,4.68213122712422,14.637242070522364,0.02193208399694413
0.5,110.0,4.700480365792417,16.15389095452164,0.02193208399694413
0.5,112.0,4.718498871295094,17.725197227872656,0.02193208399694413
0.5,114.0,4.736198448394496,19.346015565815843,0.02193208399694413
0.5,116.0,4.7535901911063645,21.011400805721834,0.02193208399694413
0.5,118.0,4.770684624465665,22.716671780328852,0.02193208399694413
0.5,120.0,4.787491742782046,24.457455566937124,0.02193208399694413
0.5,122.0,4.804021044733257,26.22971453110011,0.02193208399694413
0.5,124.0,4.820281565605037,28.02975882379074,0.02193208399694413
0.5,126.0,4.836281906951478,29.854247047920854,0.02193208399694413
0.5,128.0,4.852030263919617,31.700177700724105,0.02193208399694413
0.5,130.0,4.867534450455582,33.56487377583811,0.02193208399694413
0.5,132.0,4.882801922586371,35.44596261848616,0.02193208399694413
0.5,134.0,4.897839799950911,37.3413528057866,0.02193208399694413
0.5,136.0,4.912654885736052,39.24920949982638,0.02193208399694413
0.5,138.0,4.927253685157205,41.16792941344429,0.02193208399694413
0.5,140.0,4.941642422609304,43.09611625031264,0.02193208399694413
0.5,142.0,4.955827057601261,45.03255723878967,0.02193208399694413
0.5,144.0,4.969813299576001,46.976201175658716,0.02193208399694413
0.5,146.0,4.983606621708336,48.92613823065367,0.02193208399694413
0.5,148.0,4.997212273764115,50.881581632864695,0.02193208399694413
0.5,150.0,5.0106352940962555,52.841851261805765,0.02193208399694413
0.5,152.0,5.0238805208462765,54.80635909457122,0.02193208399694413
0.5,154.0,5.0369526024136295,56.77459641151696,0.02193208399694413
0.5,156.0,5.049856007249537,58.74612263187361,0.02193208399694413
0.5,158.0,5.062595033026967,60.720555633664716,0.02193208399694413
0.5,160.0,5.075173815233827,62.69756340580555,0.02193208399694413
0.5,162.0,5.087596335232384,64.67685688139332,0.02193208399694413
0.5,164.0,5.099866427824199,66.65818380758991,0.02193208399694413
0.5,166.0,5.111987788356544,68.6413235172719,0.02193208399694413
0.5,168.0,5.123963979403259,70.62608247933161,0.02193208399694413
0.5,170.0,5.135798437050262,72.6122905170725,0.02193208399694413
0.5,172.0,5.147494476813453,74.59979759679078,0.02193208399694413
0.5,174.0,5.159055299214529,76.58847110083768,0.02193208399694413
0.5,176.0,5.170483995038151,78.5781935108601,0.02193208399694413
0.5,178.0,5.181783550292085,80.56886043735439,0.02193208399694413
0.5,180.0,5.19295685089021,82.56037894101208,0.02193208399694413
