n_paths,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_mc_standard_error,max_mc_standard_error,mc_time_sec,series_benchmark_time_sec
500000,6,76,0.05343192156036232,0.3447870994855293,0.0012225249406383192,0.06568039574156626,0.16679235005354767,8.206566210021265,0.23401716689113528
1000000,6,76,0.03603178651288139,0.29426048481305145,0.0008253715152422863,0.04645627563011652,0.11750639787089451,16.407494375132956,0.23401716689113528
2000000,6,76,0.026747889721914993,0.17771444577560658,0.0005760546248004053,0.03284501247234193,0.08313408143293273,32.89739420590922,0.23401716689113528
