m,n_int,n_bd,n_terminal,n_lower,n_upper,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,total_gpr_time_sec,series_benchmark_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
400,400,400,134,133,133,6,76,0.10780253044777012,0.31763095103234207,0.002313596315762206,0.004669388903196606,0.016859318603341424,13.578613499877974,0.11209266714286059,0.004397583892568946,0.022035500966012478,13.717139251879416,0.23401716689113528,6,0,0.10152317736668286,0.1929719540304498
600,600,600,200,200,200,6,76,0.07124445281931913,0.25765132580163197,0.0013042532624269788,0.003114178283637451,0.005948470592656101,31.0701430819463,0.2603185400366783,0.006213247892446816,0.05051612504757941,31.387190994923003,0.23401716689113528,6,0,0.0566083366673542,0.09787574567015478
800,800,800,268,266,266,6,76,0.03436999455486053,0.17167613064407306,0.0008015985164084926,0.0026398855065488972,0.007165123424735708,56.59733649913687,0.54030370793771,0.008046915987506509,0.11660475109238178,57.26229187415447,0.23401716689113528,6,0,0.03796261110368294,0.0727709603062997
1000,1000,1000,334,333,333,6,76,0.029528009942292353,0.16067675725616937,0.0005692433857985163,0.002255070517654639,0.006312927727740562,99.66459883190691,1.0090839170152321,0.010895625106059015,0.2691008329857141,100.95367920701392,0.23401716689113528,6,0,0.03235901672487541,0.037837637116990556
