maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0.5,200,120,1.0,0.6692234530464962,0.998516250409068,,-0.40163726409012934,-0.0014848514374006315,100.0,1.0,0.8,1.2,0.7479544816645266,True,59,115
0.5,400,240,1.0,0.7311390144301738,1.0525516325525868,,-0.31315166709330655,0.05121734242823094,100.0,1.0,0.8,1.2,0.8574423519050957,True,55,111
0.5,600,360,1.0,0.2296790331359192,0.10900559410529385,,-1.471072452791916,-2.2163560760030094,100.0,1.0,0.8,1.2,0.0051328058753321365,True,90,172
0.5,800,480,1.0,0.22875447479691766,0.11452108584232717,,-1.4751060130641005,-2.1669963171142608,100.0,1.0,0.8,1.2,0.004534910281499969,True,78,151
1.0,200,120,1.0,0.6759284830689314,1.0938575497372012,,-0.3916680028125109,0.08971048504379094,100.0,1.0,0.8,1.2,0.7963062721614245,True,50,96
1.0,400,240,1.0,0.6743208028009143,1.0674388386048552,,-0.39404931275957833,0.06526217043230184,100.0,1.0,0.8,1.2,0.7799465830276789,True,58,113
1.0,600,360,1.0,0.6573025714787216,0.17324716933644915,,-0.41961083153598766,-1.753035979651955,100.0,1.0,0.8,1.2,0.03060822375363354,True,66,136
1.0,800,480,1.0,0.5778195980604989,0.13679668115218088,,-0.548493573109679,-1.9892595346714528,100.0,1.0,0.8,1.2,0.02947455904364117,True,79,165
1.5,200,120,1.0,1.3376859089662612,0.17182720982072516,,0.2909411874867392,-1.761265901177057,100.0,1.0,0.8,1.2,0.06145333608068605,True,89,172
1.5,400,240,1.0,0.3827934706881996,0.13785861516928044,,-0.9602596762671972,-1.9815266467710773,100.0,1.0,0.8,1.2,0.028220031011614227,True,75,151
1.5,600,360,1.0,0.1994745179363517,0.30249796967242737,,-1.6120687804526916,-1.1956807133604517,100.0,1.0,0.8,1.2,0.0783230645971181,True,81,154
1.5,800,480,1.0,0.3050429106398509,0.12530627360005633,,-1.1873028216482608,-2.076994349697782,100.0,1.0,0.8,1.2,0.013631910107145255,True,87,171
2.0,200,120,1.0,0.4825183272645423,1.0497141546873279,,-0.7287363749565058,0.04851789347601416,100.0,1.0,0.8,1.2,1.136116328188451,True,61,118
2.0,400,240,1.0,1.2730092809761244,0.17118620272792204,,0.2413836101819407,-1.7650034100646796,100.0,1.0,0.8,1.2,0.04429419001253376,True,108,210
2.0,600,360,1.0,1.465760821231113,0.1504519941062472,,0.38237443956126166,-1.8941112217151084,100.0,1.0,0.8,1.2,0.05426902163752348,True,81,156
2.0,800,480,1.0,0.5967439366530484,0.13063204599116202,,-0.5162671744297338,-2.0353707171156064,100.0,1.0,0.8,1.2,0.02098247693459117,True,95,182
2.5,200,120,1.0,0.7805423263334909,1.2920630608869441,,-0.24776631072958594,0.2562402129053274,100.0,1.0,0.8,1.2,1.3400487064569762,True,53,101
2.5,400,240,1.0,0.9349075872669138,0.21135765128594194,,-0.06730759172584852,-1.5542035506565892,100.0,1.0,0.8,1.2,0.05274713054053452,True,63,120
2.5,600,360,1.0,1.0580779761286063,0.1719636113804999,,0.056454032165097125,-1.7604723862923057,100.0,1.0,0.8,1.2,0.040981702671209375,True,73,142
2.5,800,480,1.0,0.6240548755271447,0.15927100318723203,,-0.4715169729294295,-1.8371481050804572,100.0,1.0,0.8,1.2,0.02206055917260935,True,63,121
3.0,200,120,1.0,1.107596604029105,1.1180408874668442,,0.10219244624740606,0.1115779460380906,100.0,1.0,0.8,1.2,1.7574692431361154,True,49,97
3.0,400,240,1.0,0.789397970521527,1.0036808729580085,,-0.23648468666937938,0.0036741151232194107,100.0,1.0,0.8,1.2,1.0659943348556995,True,52,104
